,user_id,age,location_city,location_state,location_country
0,0.0,1,0,0,0
1,2334.0,1,1,0,0
2,13.0,1,2,1,1
3,1.0,1,3,0,0
4,4789.0,1,4,2,0
5,3936.0,1,1,0,0
6,13426.0,1,1,3,2
7,2.0,1,5,0,0
8,1437.0,1,1,0,0
9,3.0,1,6,0,0
10,4.0,1,7,0,0
11,5.0,1,8,4,0
12,6.0,1,9,5,0
13,7.0,1,10,6,3
14,26761.0,1,1,0,0
15,8.0,1,11,7,3
16,36537.0,1,12,8,3
17,9.0,1,13,9,3
18,2542.0,1,14,10,3
19,16495.0,1,15,11,3
20,10.0,1,16,9,3
21,11.0,1,17,12,3
22,12.0,1,18,13,3
23,5641.0,1,19,14,3
24,14.0,1,20,15,3
25,10624.0,1,21,16,3
26,15.0,1,22,17,3
27,11620.0,1,23,11,3
28,16.0,1,24,18,3
29,6225.0,1,25,19,3
30,1240.0,1,26,20,3
31,1062.0,1,27,9,3
32,17.0,1,24,3,2
33,23458.0,1,28,9,3
34,18.0,1,29,21,3
35,19.0,1,30,9,3
36,26474.0,1,31,22,3
37,1696.0,1,32,23,4
38,20.0,1,33,17,3
39,21.0,1,34,8,3
40,11119.0,1,35,7,3
41,6568.0,1,36,9,3
42,2052.0,1,37,24,3
43,22.0,1,38,17,3
44,6900.0,1,36,9,3
45,23.0,1,39,11,3
46,8826.0,1,40,17,3
47,24.0,1,41,25,5
48,4584.0,1,42,22,3
49,3087.0,1,43,3,2
50,67969.0,1,44,2,0
51,22970.0,1,45,18,3
52,25.0,1,46,18,3
53,26.0,1,47,11,3
54,27.0,1,48,26,3
55,11378.0,1,49,12,3
56,1332.0,1,50,27,3
57,54504.0,1,3,0,0
58,1597.0,1,51,2,0
59,28.0,1,52,28,6
60,9090.0,1,1,0,0
61,1986.0,1,44,2,0
62,7782.0,1,20,15,3
63,29.0,1,0,0,0
64,30.0,1,53,9,3
65,1099.0,1,54,7,3
66,1395.0,1,55,7,3
67,22888.0,1,56,29,3
68,59803.0,1,20,15,3
69,11347.0,1,57,30,7
70,7123.0,1,58,31,8
71,9179.0,1,59,32,3
72,9776.0,1,60,3,2
73,165.0,1,61,15,3
74,3414.0,1,62,33,3
75,2920.0,1,63,15,3
76,5453.0,1,64,18,3
77,31.0,1,65,34,3
78,23593.0,1,66,8,3
79,32.0,1,67,9,3
80,5227.0,1,40,17,3
81,33.0,1,68,17,3
82,12290.0,1,69,7,3
83,4906.0,1,70,11,3
84,34.0,1,71,18,3
85,35.0,1,72,16,3
86,59804.0,1,73,35,3
87,2335.0,1,74,15,3
88,3821.0,1,75,36,9
89,9008.0,1,76,37,3
90,770.0,1,77,15,3
91,771.0,1,78,38,3
92,11322.0,1,79,22,3
93,14899.0,1,80,10,3
94,34074.0,1,81,39,3
95,6528.0,1,82,40,3
96,36.0,1,83,41,10
97,37.0,1,84,42,3
98,15317.0,1,85,43,3
99,38.0,1,86,16,3
100,3836.0,1,54,7,3
101,39.0,1,87,9,3
102,8839.0,1,88,29,3
103,9822.0,1,89,13,3
104,40.0,1,90,12,3
105,41.0,1,91,44,3
106,6005.0,1,92,45,3
107,33500.0,1,93,46,11
108,1153.0,1,94,9,3
109,42.0,1,95,32,3
110,12337.0,1,96,12,3
111,43.0,1,97,44,3
112,1016.0,1,98,9,3
113,44.0,1,95,32,3
114,32541.0,1,98,9,3
115,2616.0,1,99,40,3
116,3059.0,1,100,14,3
117,1342.0,1,101,33,3
118,2351.0,1,102,9,3
119,8591.0,1,103,29,3
120,45.0,1,104,3,2
121,46.0,1,105,17,3
122,4751.0,1,37,24,3
123,3640.0,1,106,12,3
124,793.0,1,107,33,3
125,2355.0,1,108,22,3
126,47.0,1,32,23,4
127,48.0,1,36,9,3
128,49.0,1,109,16,3
129,50.0,1,110,47,11
130,1031.0,1,3,0,0
131,1032.0,1,111,48,12
132,51.0,1,112,40,3
133,52.0,1,113,49,3
134,2778.0,1,114,50,3
135,1629.0,1,115,9,3
136,13249.0,1,116,8,3
137,53.0,1,117,18,3
138,54.0,1,118,51,3
139,55.0,1,119,16,3
140,4752.0,1,120,20,3
141,3651.0,1,121,10,3
142,56.0,1,122,8,3
143,57.0,1,123,17,2
144,5781.0,1,22,17,3
145,4604.0,1,124,12,3
146,4919.0,1,125,52,3
147,16105.0,1,126,14,3
148,3061.0,1,92,50,3
149,58.0,1,127,29,3
150,2813.0,1,128,50,3
151,62591.0,1,129,53,3
152,10591.0,1,130,29,3
153,10750.0,1,131,20,3
154,59.0,1,132,44,3
155,60.0,1,133,24,3
156,4258.0,1,134,54,3
157,61.0,1,135,17,3
158,7913.0,1,136,16,3
159,13014.0,1,137,9,3
160,720.0,1,138,37,3
161,7437.0,1,139,10,3
162,62.0,1,140,33,3
163,29136.0,1,141,22,3
164,63.0,1,142,14,3
165,1973.0,1,143,10,3
166,3430.0,1,144,18,3
167,49300.0,1,145,2,0
168,8615.0,1,87,9,3
169,64.0,1,146,55,13
170,65.0,1,147,20,3
171,1976.0,1,148,27,3
172,66.0,1,149,36,9
173,7147.0,1,150,21,3
174,5591.0,1,54,7,3
175,1474.0,1,151,7,3
176,3103.0,1,152,56,8
177,3666.0,1,153,57,3
178,67.0,1,154,9,3
179,2234.0,1,22,17,3
180,36694.0,1,150,21,3
181,4839.0,1,155,17,3
182,68.0,1,156,9,3
183,7844.0,1,157,14,3
184,22650.0,1,15,11,3
185,69.0,1,158,8,3
186,31247.0,1,159,19,3
187,10595.0,1,66,58,3
188,70.0,1,137,9,3
189,24030.0,1,160,33,3
190,31756.0,1,161,9,3
191,12466.0,1,162,24,3
192,71.0,1,163,7,3
193,5666.0,1,164,22,3
194,72.0,1,165,17,3
195,73.0,1,66,8,3
196,74.0,1,166,18,3
197,75.0,1,102,9,3
198,11406.0,1,167,18,3
199,1481.0,1,168,9,3
200,4462.0,1,169,18,3
201,22422.0,1,170,8,3
202,2212.0,1,142,14,3
203,76.0,1,171,14,3
204,10683.0,1,4,2,0
205,2191.0,1,172,9,3
206,77.0,1,173,13,3
207,1056.0,1,174,9,3
208,2193.0,1,144,18,3
209,4698.0,1,175,14,3
210,29152.0,1,176,13,3
211,78.0,1,177,3,2
212,6544.0,1,178,24,3
213,79.0,1,179,9,3
214,80.0,1,180,17,3
215,28873.0,1,181,22,3
216,1484.0,1,182,50,3
217,81.0,1,183,12,3
218,4927.0,1,142,14,3
219,82.0,1,184,16,3
220,83.0,1,185,42,3
221,4699.0,1,186,29,3
222,84.0,1,187,9,3
223,2316.0,1,188,49,3
224,1487.0,1,189,29,3
225,85.0,1,190,44,3
226,36334.0,1,191,7,3
227,86.0,1,192,10,3
228,3575.0,1,193,9,3
229,921.0,1,194,16,3
230,13650.0,1,195,9,3
231,59805.0,1,44,18,3
232,19723.0,1,196,0,0
233,4841.0,1,197,20,3
234,87.0,1,198,29,3
235,88.0,1,199,29,3
236,89.0,1,200,17,3
237,17504.0,1,201,59,3
238,90.0,1,44,2,0
239,62120.0,1,202,57,3
240,91.0,1,203,57,3
241,92.0,1,204,32,3
242,2390.0,1,166,10,3
243,4635.0,1,205,13,3
244,5271.0,1,206,11,3
245,6440.0,1,207,24,3
246,93.0,1,208,60,3
247,1906.0,1,209,44,3
248,94.0,1,210,9,3
249,4701.0,1,211,20,3
250,6015.0,1,212,20,3
251,95.0,1,70,7,3
252,4929.0,1,22,17,3
253,59806.0,1,213,43,3
254,846.0,1,214,19,3
255,96.0,1,215,18,3
256,12070.0,1,216,45,3
257,97.0,1,217,22,3
258,59807.0,1,218,10,3
259,16915.0,1,219,34,3
260,59808.0,1,24,18,3
261,98.0,1,220,61,14
262,11253.0,1,221,44,3
263,1428.0,1,205,13,3
